depot_id,vehicle_number,Latitude,Longitude,distance_from_college_km,last_seen_time,device_id,odometer_reading,fuel_level
108,TN87E7166,13.0119716,80.007605,0.57,2025-09-03 21:54:00,353201357178323,0.0,258.0
7,TN01BP5432,13.007226,79.995048,0.93,2025-09-03 23:58:41,865933032032175,0.0,0.0
4,TN01BM4494,12.970423,79.976074,5.19,2025-09-03 23:34:37,865933032837730,0.0,0.0
12,TN05CS5122,13.037663,80.044944,5.52,2025-09-03 23:58:41,865933032012037,0.0,0.0
72,TN878019,13.040096666666669,80.05213666666667,6.32,2025-09-03 23:58:36,7750,0.0,228.93
56,TN872291,12.996105,80.10783666666667,11.39,2025-09-03 23:58:56,7448,0.0,113.16
44,TN870466,12.996156666666666,80.10803333333334,11.41,2025-09-03 23:58:59,7415,0.0,291.5
59,TN872302,12.996,80.1079654,11.41,2025-09-03 23:58:19,864547034489539,0.0,69.98
17,TN12AU6647,12.99607,80.1080049,11.41,2025-09-03 16:35:24,353201357606075,0.0,127.0
120,TN87F2603,12.91587,80.0736483,12.82,2025-09-03 21:10:34,353201358043112,0.0,299.0
110,TN87E7207,13.1271416,79.994105,13.2,2025-09-03 19:03:59,353201358042908,0.0,259.0
79,TN879074,13.12715,79.99423666666667,13.2,2025-09-03 23:58:51,7720,0.0,255.59
94,TN87B0869,13.1191837,80.0860404,15.19,2025-09-03 23:58:19,864502038823480,0.0,250.88
87,TN87A3540,13.1192171,80.0861835,15.2,2025-09-03 23:53:40,864547034548904,0.0,200.32
93,TN87B0846,13.1190836,80.0862503,15.2,2025-09-03 18:44:08,864502038928271,0.0,353.02
31,TN12BH6042,13.091298,80.121109,15.7,2025-09-03 23:57:07,865933031285436,0.0,0.0
77,TN878773,13.0912506,80.1212024,15.71,2025-09-03 23:58:33,864547034462569,0.0,162.29
80,TN879103,13.09124,80.12119166666666,15.71,2025-09-03 23:58:58,7722,0.0,206.47
112,TN87E7249,13.0913249,80.1211749,15.71,2025-09-03 21:08:28,353201357659751,0.0,132.0
106,TN87E6455,12.8901416,80.0854833,15.9,2025-09-03 19:03:44,353201358042148,0.0,297.0
96,TN87B0880,13.0652165,80.1497364,17.04,2025-09-03 16:56:34,869943059034463,0.0,378.92
102,TN87D7350,13.091042,79.8576498,18.26,2025-09-03 23:58:05,868960063531939,0.0,100.41
8,TN01BP8438,13.057,80.166419,18.45,2025-09-03 23:36:33,865933032040319,0.0,0.0
39,TN21BY1639,13.159276666666669,80.11026833333334,20.35,2025-09-03 23:58:53,7402,0.0,206.08
119,TN87F2602,13.1602816,80.1100033,20.42,2025-09-03 21:01:45,353201357178406,0.0,239.0
5,TN01BP3206,12.943923,80.183868,20.83,2025-09-03 23:41:42,865933032027613,0.0,0.0
6,TN01BP3245,12.943843,80.183853,20.83,2025-09-03 23:58:41,865933032034122,0.0,0.0
117,TN87F0976,12.9438483,80.18389,20.84,2025-09-03 22:02:43,353201358041769,0.0,315.0
124,TN87F2652,12.9438283,80.1839216,20.84,2025-09-03 20:12:45,353201357774709,0.0,140.0
121,TN87F2607,12.94384,80.183895,20.84,2025-09-03 20:24:18,353201356875754,0.0,223.0
114,TN87E7654,12.9437883,80.1838716,20.84,2025-09-03 23:08:43,353201358178298,0.0,161.0
48,TN871044,12.943786666666666,80.18387,20.84,2025-09-03 23:40:29,7427,0.0,82.37
125,TN87F2685,12.943835,80.1840166,20.85,2025-09-03 23:58:34,353201357167755,0.0,233.0
113,TN87E7626,12.9437466,80.1839383,20.85,2025-09-03 19:35:06,353201357123212,0.0,253.0
19,TN12AU6678,12.9437199,80.1839983,20.85,2025-09-03 16:59:16,353201358042023,0.0,75.0
18,TN12AU6652,12.9437666,80.1840666,20.86,2025-09-03 16:46:18,353201357165957,0.0,88.0
42,TN870442,12.943801666666667,80.18416666666667,20.87,2025-09-03 23:58:56,7409,0.0,301.65
109,TN87E7178,12.943835,80.1844283,20.89,2025-09-03 21:20:08,353201357659801,0.0,281.0
123,TN87F2637,12.9438033,80.1844933,20.9,2025-09-03 20:55:05,353201357177499,0.0,298.0
37,TN21BY1608,13.044723333333334,80.19287333333334,20.9,2025-09-03 18:45:07,7401,0.13,194.17
14,TN05CT5474,13.0444169,80.1962852,21.26,2025-09-03 23:58:59,868597033157401,0.0,0.0
3,TN01BM4432,13.044438,80.196411,21.27,2025-09-03 23:58:48,865933032610640,0.0,0.0
75,TN878037,13.044748333333333,80.19631833333334,21.27,2025-09-03 23:58:55,7718,0.0,273.05
13,TN05CS6207,13.044316,80.196472,21.28,2025-09-03 23:34:24,865933032839280,0.0,0.0
68,TN872442,13.044093333333333,80.19661,21.29,2025-09-03 23:58:54,7475,0.0,110.67
45,TN870478,13.044591666666667,80.1965,21.29,2025-09-03 23:58:51,7418,0.0,311.11
61,TN872315,13.044265,80.19657,21.29,2025-09-03 23:59:00,7456,0.0,92.9
47,TN871039,13.0440831,80.1966667,21.29,2025-09-03 23:59:00,868597033239373,0.0,0.0
29,TN12BC9632,13.0442749,80.1966583,21.3,2025-09-03 18:59:25,353201357169975,0.0,229.0
88,TN87A3929,13.0442166,80.1966857,21.3,2025-09-03 23:52:12,868597033239274,0.0,289.33
85,TN87A3310,13.0441832,80.1967048,21.3,2025-09-03 23:51:28,864547034540216,0.0,35.65
46,TN871030,13.0446839,80.1965999,21.3,2025-09-03 23:51:34,864547034532494,0.0,0.0
