cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
10,13.342584199999996,80.22223615009766,13.3209431,80.1829242,Highway_unknown,highway,,4887.01,2
14,13.031070348523471,80.27509209809396,13.0528433,80.2736216,Highway_unknown,highway,,2426.28,10
19,12.615432826714326,79.75949140254059,12.6382883,79.6529433,Highway_unknown,highway,,11837.1,4
23,13.106735069036104,79.4249875958654,12.9248083,79.370295,Highway_unknown,highway,,21079.26,2
34,13.175072300000002,80.0199562,13.1517338,80.0555896,Highway_unknown,highway,,4649.72,3
56,12.899698700000007,79.67961548576662,12.8746116,79.6807566,Highway_unknown,highway,,2792.3,2
79,13.3451646,80.2878794,13.2811799,80.2595183,Highway_unknown,highway,,7748.41,2
86,13.13503837778649,79.65670990681127,13.1277516,79.6411716,Highway_unknown,highway,,1867.53,3
91,12.964911133569398,80.19922221993974,12.9689783,80.18987,Highway_unknown,highway,,1109.73,20
100,12.888560291686671,80.1406469039854,12.906515,80.144385,Highway_unknown,highway,,2037.17,3
132,13.033440122714357,80.12151349227682,13.041636666666667,80.12584333333334,Highway_unknown,highway,,1025.03,3
139,13.025055767209423,80.26090821086726,13.006485,80.25728333333333,Highway_unknown,highway,,2101.99,9
146,12.984656509872003,80.14104016560441,12.9766533,80.1326716,Highway_unknown,highway,,1270.5,4
151,12.894758747203376,80.16953784701205,12.90335,80.1585116,Highway_unknown,highway,,1530.01,2
160,13.33861041670846,80.19235227682395,13.3209431,80.1829242,Highway_unknown,highway,,2213.58,4
165,13.04088800938086,80.2720134856519,13.0528533,80.2734483,Highway_unknown,highway,,1339.53,9
168,13.019384522558406,80.24166483746724,13.026105,80.23132,Highway_unknown,highway,,1347.0,3
171,13.0086519,79.84087869999999,13.0308949,79.8303983,Highway_unknown,highway,,2721.47,2
183,13.112646163264872,80.28244028592596,13.1109449,80.2919049,Highway_unknown,highway,,1042.29,17
186,13.038199389731757,80.25112457082638,13.0506666,80.2504183,Highway_unknown,highway,,1388.4,8
188,12.88709166515422,80.02340709903544,12.8927366,80.0704483,Highway_unknown,highway,,5137.42,5
195,13.012529099288985,80.17282887747669,13.0234503,80.1791954,Highway_unknown,highway,,1396.59,3
213,13.10741380351529,80.09652489644085,13.1170213,80.0978374,Highway_unknown,highway,,1077.72,8
215,13.205186818827482,80.31565722437264,13.1927999,80.3136733,Highway_unknown,highway,,1394.01,2
