user,email,department,student_lat,student_lon,cluster_id,centroid_lat,centroid_lon,road_distance_km,walking_distance_km,walking_layer,within_distance_limit
Unknown,N/A,N/A,13.089775,80.2437498,0,13.085628648744459,80.24448834530527,0.656,0.619,best,True
Unknown,N/A,N/A,13.088729603408472,80.24512954364529,0,13.085628648744459,80.24448834530527,0.716,0.679,best,True
Unknown,N/A,N/A,13.0856795,80.2452474,0,13.085628648744459,80.24448834530527,0.087,0.087,best,True
Unknown,N/A,N/A,13.0856795,80.2452474,0,13.085628648744459,80.24448834530527,0.087,0.087,best,True
Unknown,N/A,N/A,13.083599364177529,80.24024396044561,0,13.085628648744459,80.24448834530527,0.768,0.768,best,True
Unknown,N/A,N/A,13.08564474711778,80.24541400690032,0,13.085628648744459,80.24448834530527,0.105,0.105,best,True
Unknown,N/A,N/A,13.085740921279555,80.24559080866024,0,13.085628648744459,80.24448834530527,0.323,0.129,best,True
Unknown,N/A,N/A,13.086690280159328,80.24529109247109,0,13.085628648744459,80.24448834530527,0.244,0.224,best,True
Unknown,N/A,N/A,13.0856795,80.2452474,0,13.085628648744459,80.24448834530527,0.087,0.087,best,True
Unknown,N/A,N/A,13.0856795,80.2452474,0,13.085628648744459,80.24448834530527,0.087,0.087,best,True
Unknown,N/A,N/A,13.081909039287307,80.24409693201656,0,13.085628648744459,80.24448834530527,0.874,0.585,best,True
Unknown,N/A,N/A,13.0856795,80.2452474,0,13.085628648744459,80.24448834530527,0.087,0.087,best,True
Unknown,N/A,N/A,13.0856795,80.2452474,0,13.085628648744459,80.24448834530527,0.087,0.087,best,True
Unknown,N/A,N/A,13.08569992751878,80.2454312985054,0,13.085628648744459,80.24448834530527,0.341,0.112,best,True
Unknown,N/A,N/A,13.081391357351889,80.24430402733601,0,13.085628648744459,80.24448834530527,0.963,0.674,best,True
Unknown,N/A,N/A,13.085556159765162,80.2453952630245,0,13.085628648744459,80.24448834530527,0.103,0.103,best,True
Unknown,N/A,N/A,13.08294191992047,80.24972943356869,1,13.084765854676442,80.25014513109575,0.208,0.208,best,True
Unknown,N/A,N/A,13.082721380550693,80.24981702774565,1,13.084765854676442,80.25014513109575,0.231,0.231,best,True
Unknown,N/A,N/A,13.08257624943852,80.2497263146558,1,13.084765854676442,80.25014513109575,0.249,0.249,best,True
Unknown,N/A,N/A,13.0407166,80.0248477,2,13.0407166,80.0248477,0.0,0.0,best,True
Unknown,N/A,N/A,13.0407166,80.0248477,2,13.0407166,80.0248477,0.0,0.0,best,True
Unknown,N/A,N/A,12.8471951,79.69997769999999,3,12.844714772338952,79.70024391603759,0.21,0.21,best,True
Unknown,N/A,N/A,12.843540659144036,79.69974163230118,3,12.844714772338952,79.70024391603759,0.387,0.174,best,True
Unknown,N/A,N/A,12.845704543123349,79.70025740312069,3,12.844714772338952,79.70024391603759,0.139,0.163,best,True
Unknown,N/A,N/A,12.84450568137732,79.70256310582948,3,12.844714772338952,79.70024391603759,0.298,0.298,best,True
Unknown,N/A,N/A,12.8458536,79.7003182,3,12.844714772338952,79.70024391603759,0.128,0.128,best,True
Unknown,N/A,N/A,12.8455693,79.7010539,3,12.844714772338952,79.70024391603759,0.158,0.158,best,True
Unknown,N/A,N/A,12.8426879,79.6994601,3,12.844714772338952,79.70024391603759,0.487,0.273,best,True
Unknown,N/A,N/A,12.843745456166834,79.6995955673397,3,12.844714772338952,79.70024391603759,0.369,0.155,best,True
Unknown,N/A,N/A,12.844557200204486,79.69977397154015,3,12.844714772338952,79.70024391603759,0.277,0.063,best,True
Unknown,N/A,N/A,12.843788283373486,79.69969758024479,3,12.844714772338952,79.70024391603759,0.362,0.148,best,True
Unknown,N/A,N/A,12.843296797414238,79.69655429157324,4,12.844475435656593,79.69683044223987,0.231,0.231,best,True
Unknown,N/A,N/A,12.839748511228697,79.69768821010895,4,12.844475435656593,79.69683044223987,0.745,0.697,best,True
Unknown,N/A,N/A,12.8490537,79.6975951,4,12.844475435656593,79.69683044223987,0.632,0.632,best,True
Unknown,N/A,N/A,12.845464292830556,79.6980740733553,4,12.844475435656593,79.69683044223987,0.318,0.318,best,True
Unknown,N/A,N/A,12.844969299671044,79.69672961760917,4,12.844475435656593,79.69683044223987,0.106,0.106,best,True
Unknown,N/A,N/A,12.8393951,79.6968207,4,12.844475435656593,79.69683044223987,0.668,0.668,best,True
Unknown,N/A,N/A,12.844974633647675,79.69670241635984,4,12.844475435656593,79.69683044223987,0.108,0.108,best,True
Unknown,N/A,N/A,12.8455087,79.6962433,4,12.844475435656593,79.69683044223987,0.186,0.186,best,True
Unknown,N/A,N/A,12.8451076,79.696377,4,12.844475435656593,79.69683044223987,0.151,0.151,best,True
Unknown,N/A,N/A,12.845007251858906,79.69669478535693,4,12.844475435656593,79.69683044223987,0.111,0.111,best,True
Unknown,N/A,N/A,12.845180644474995,79.6964709554974,4,12.844475435656593,79.69683044223987,0.142,0.142,best,True
Unknown,N/A,N/A,12.844965432409593,79.69660199925764,4,12.844475435656593,79.69683044223987,0.126,0.126,best,True
Unknown,N/A,N/A,12.8455087,79.69624329999999,4,12.844475435656593,79.69683044223987,0.186,0.186,best,True
Unknown,N/A,N/A,12.934434,80.147061,5,12.937212622756848,80.14612349387458,0.48,0.48,best,True
Unknown,N/A,N/A,12.9387231,80.14607749999999,5,12.937212622756848,80.14612349387458,0.27,0.27,best,True
Unknown,N/A,N/A,12.9387231,80.14607749999999,5,12.937212622756848,80.14612349387458,0.27,0.27,best,True
Unknown,N/A,N/A,12.9387231,80.14607749999999,5,12.937212622756848,80.14612349387458,0.27,0.27,best,True
Unknown,N/A,N/A,12.93594562775709,80.14504956083766,5,12.937212622756848,80.14612349387458,0.392,0.392,best,True
Unknown,N/A,N/A,12.9387231,80.14607749999999,5,12.937212622756848,80.14612349387458,0.27,0.27,best,True
Unknown,N/A,N/A,12.933964726897017,80.1496672803948,5,12.937212622756848,80.14612349387458,0.826,0.826,best,True
Unknown,N/A,N/A,12.9373605,80.1451044,5,12.937212622756848,80.14612349387458,0.493,0.493,best,True
Unknown,N/A,N/A,12.9387231,80.14607749999999,5,12.937212622756848,80.14612349387458,0.27,0.27,best,True
Unknown,N/A,N/A,12.938749013835004,80.15347242143424,6,12.93973436175006,80.15121313426313,0.325,0.325,best,True
Unknown,N/A,N/A,12.9404130442871,80.15003593729335,6,12.93973436175006,80.15121313426313,0.195,0.195,best,True
Unknown,N/A,N/A,12.940491141299848,80.1506940361395,6,12.93973436175006,80.15121313426313,0.134,0.134,best,True
