cluster_id,centroid_lat,centroid_lon,student_count,avg_distance,max_distance,reachability_percentage
0,13.121129858058115,80.14735203656173,31,0.4090645161290323,0.819,88.57142857142857
1,12.839162486976608,79.71223029067438,7,0.623142857142857,0.876,63.63636363636363
2,12.974433834157551,80.13588214849561,20,0.5105500000000001,0.98,64.51612903225806
3,12.95102165453336,79.94067251007662,3,0.6456666666666667,0.838,60.0
4,13.089009754061925,80.26108652732022,7,0.48542857142857143,0.878,63.63636363636363
5,13.096203373313282,79.65982677932304,7,0.7057142857142856,0.965,58.333333333333336
6,12.685218369371078,79.97965339068799,3,0.7200000000000001,0.809,25.0
7,13.076279359646607,80.1829970647432,15,0.5972000000000001,0.996,46.875
8,12.980843521523905,80.22321249268114,6,0.6065,0.943,37.5
9,13.118993375409122,80.0680298257686,5,0.6439999999999999,0.998,45.45454545454545
10,12.918993451286568,80.07498471068402,4,0.7629999999999999,0.823,25.0
11,13.027818288838771,80.10811325046325,3,0.6829999999999999,0.834,37.5
12,13.149023750545469,80.23095326933877,2,0.5935,0.659,16.666666666666664
13,12.896467742567424,79.45868313343692,3,0.6544052136197407,0.7415298281391791,75.0
14,13.040329969368532,80.20542782304832,14,0.527775906925439,0.9362589460618023,77.77777777777779
15,12.910754740861098,80.1490886122041,10,0.7218813487896851,0.9560733530314721,62.5
16,12.667329704210838,79.5401486773955,3,0.5164111322412221,0.771665927150511,100.0
17,13.093547964526515,80.22266327043671,9,0.4744335116001321,0.7735041841181038,56.25
18,13.106735069036104,79.4249875958654,2,0.8200668983443229,0.9011956741163731,66.66666666666666
19,13.138424287527828,79.9073435820212,8,0.3405367349702042,0.8901062454158059,57.14285714285714
20,13.17785251287725,80.30754976791663,3,0.6493709248569802,0.8393215769405427,27.27272727272727
21,12.793717324297491,79.81754492297992,7,0.3293594940657019,0.8291651551498832,100.0
22,13.035079406300872,80.23637628201821,6,0.633372292824216,0.8544645430388919,85.71428571428571
23,13.11808072735141,80.09489207193485,11,0.34551473904004903,0.7315488363358517,64.70588235294117
24,13.098929596058849,80.0033260035274,2,0.8120509437059459,0.8120535944947619,100.0
25,13.038569924681148,80.13256873377468,18,0.457382228083922,0.8461108096929394,94.73684210526315
26,12.788404232086805,80.22255997856814,2,0.3016725971225487,0.30167286712153707,100.0
27,13.133861961226232,80.21076308736544,7,0.584377330717958,0.82589492974083,50.0
28,12.95826344861794,80.18402815727823,9,0.46839582286024267,0.6524274866674739,75.0
29,13.19861002190996,80.15150935760555,3,0.7614816379846348,0.7827139097368616,75.0
30,13.007306334863245,80.0028423596282,4,0.29565511031125546,0.3995735911308159,66.66666666666666
31,12.924469109176973,79.56984911710109,4,0.2823168453276292,0.366153248977448,100.0
32,13.179200270254743,79.6114728793839,4,0.5977739167550044,0.7161457690434471,100.0
33,13.112477427092514,80.29160645181659,12,0.5124065417123854,0.9235866723343915,100.0
34,13.120908526026659,80.22245146166298,24,0.5004781674627649,0.9404522897470469,77.41935483870968
35,13.065383458701447,80.2262391737124,16,0.6461612279009878,0.961117259677671,84.21052631578947
36,12.88948236385392,80.02198336608737,3,0.3922459061032952,0.4024974462446252,60.0
37,13.02897843738255,80.27114058380128,7,0.6865825645570437,0.7819957110577062,50.0
38,13.042643541109701,80.17280182533457,10,0.650389506218941,0.938251891091995,71.42857142857143
39,13.045955207119086,80.08738350534243,8,0.48075043366068715,0.5660353191170514,38.095238095238095
40,12.812063192316135,79.70852132155116,12,0.5517936919200189,0.8289529069238106,85.71428571428571
